0.927,0.957
0.928,0.961
0.886,0.957
0.903,0.947
0.720,0.847
0.787,0.876
0.933,0.962
0.858,0.900
0.830,0.911
0.807,0.764
0.774,0.845
0.904,0.964
0.587,0.746
0.810,0.774
0.833,0.832
0.851,0.840
0.761,0.757
0.743,0.820
0.723,0.769
0.686,0.730
0.823,0.936
0.709,0.737
0.678,0.722
0.776,0.880
0.640,0.699
0.469,0.754
0.762,0.831
0.650,0.783
0.533,0.782
0.527,0.668
0.900,0.943
0.495,0.648
0.409,0.498
0.676,0.752
0.493,0.667
0.642,0.727
0.325,0.536
0.344,0.493
0.141,0.185
0.270,0.453
0.349,0.511
0.500,0.471
0.299,0.254
0.204,0.388
0.295,0.363
0.527,0.481
0.444,0.449
0.426,0.612
0.000,0.000
0.302,0.535
